name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Nikola Maksimovic,Centre-Back,29,10000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Genoa CFC,free transfer
Diogo Leite,Centre-Back,22,10000000,Portugal,Liga Bwin,FC Porto,Portugal,Liga Bwin,SC Braga,loan transfer
Hélder Costa,Right Winger,27,10000000,England,Premier League,Leeds United,Spain,LaLiga,Valencia CF,loan transfer
Luuk de Jong,Centre-Forward,31,10000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,loan transfer
Amine Harit,Attacking Midfield,24,10000000,Germany,2. Bundesliga,FC Schalke 04,France,Ligue 1,Olympique Marseille,loan transfer
Hannes Wolf,Attacking Midfield,22,8000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Borussia Mönchengladbach,9000000
Josh Sargent,Centre-Forward,21,8000000,Germany,2. Bundesliga,SV Werder Bremen,England,Premier League,Norwich City,9000000
Paulinho,Central Midfield,32,9000000,China,Super League,Guangzhou FC,Saudi Arabia,Professional League,Al-Ahli Jeddah,free transfer
Jens Petter Hauge,Left Winger,21,9000000,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,loan transfer
Ben Gibson,Centre-Back,28,7000000,England,Premier League,Burnley FC,England,Premier League,Norwich City,9000000
Davide Zappacosta,Right-Back,29,8000000,England,Premier League,Chelsea FC,Italy,Serie A,Atalanta BC,9000000
Kamal Sowah,Right Winger,21,3000000,England,Premier League 2,Leicester City U23,Belgium,Jupiler Pro League,Club Brugge KV,9000000
Ante Budimir,Centre-Forward,29,9000000,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,CA Osasuna,8000000
Suat Serdar,Central Midfield,24,9000000,Germany,2. Bundesliga,FC Schalke 04,Germany,Bundesliga,Hertha BSC,8000000
Yacine Adli,Attacking Midfield,21,9000000,France,Ligue 1,FC Girondins Bordeaux,Italy,Serie A,AC Milan,8000000
Toma Basic,Central Midfield,24,9000000,France,Ligue 1,FC Girondins Bordeaux,Italy,Serie A,SS Lazio,6000000
Pol Lirola,Right-Back,24,9000000,Italy,Serie A,ACF Fiorentina,France,Ligue 1,Olympique Marseille,6000000
Fábio Martins,Left Winger,28,9000000,Portugal,Liga Bwin,SC Braga,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,3000000
Marco Silvestri,Goalkeeper,30,9000000,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,2000000
Marcos Paulo,Left Winger,20,9000000,Brazil,Série A,Fluminense Football Club,Spain,LaLiga,Atlético de Madrid,free transfer
Patrick Cutrone,Centre-Forward,23,9000000,England,Premier League,Wolverhampton Wanderers,Italy,Serie A,FC Empoli,loan transfer
Marcos Paulo,Left Winger,20,9000000,Spain,LaLiga,Atlético de Madrid,Portugal,Liga Bwin,FC Famalicão,loan transfer
Loren Morón,Centre-Forward,27,9000000,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Willian,Right Winger,33,9000000,England,Premier League,Arsenal FC,Brazil,Série A,Sport Club Corinthians Paulista,free transfer
Reiss Nelson,Right Winger,21,9000000,England,Premier League,Arsenal FC,Netherlands,Eredivisie,Feyenoord Rotterdam,loan transfer
Yacine Adli,Attacking Midfield,21,9000000,Italy,Serie A,AC Milan,France,Ligue 1,FC Girondins Bordeaux,loan transfer
Javairô Dilrosun,Left Winger,23,9000000,Germany,Bundesliga,Hertha BSC,France,Ligue 1,FC Girondins Bordeaux,loan transfer
Marcos André,Centre-Forward,24,3000000,Spain,LaLiga2,Real Valladolid CF,Spain,LaLiga,Valencia CF,8000000
