name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Ozan Kabak,Centre-Back,21,25000000,Germany,2. Bundesliga,FC Schalke 04,England,Premier League,Norwich City,4000000
André Zambo Anguissa,Defensive Midfield,25,25000000,England,Championship,Fulham FC,Italy,Serie A,SSC Napoli,600000
Héctor Bellerín,Right-Back,26,25000000,England,Premier League,Arsenal FC,Spain,LaLiga,Real Betis Balompié,loan transfer
Pablo Sarabia,Right Winger,29,25000000,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Bwin,Sporting CP,loan transfer
Nicolás González,Left Winger,23,22000000,Germany,Bundesliga,VfB Stuttgart,Italy,Serie A,ACF Fiorentina,23000000
Marc Guehi,Centre-Back,21,10000000,England,Premier League 2,Chelsea FC U23,England,Premier League,Crystal Palace,23000000
Enock Mwepu,Central Midfield,23,13000000,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Brighton & Hove Albion,23000000
Odilon Kossounou,Centre-Back,20,13000000,Belgium,Jupiler Pro League,Club Brugge KV,Germany,Bundesliga,Bayer 04 Leverkusen,23000000
Danny Ings,Centre-Forward,29,22000000,England,Premier League,Southampton FC,England,Premier League,Aston Villa,29000000
Joachim Andersen,Centre-Back,25,22000000,France,Ligue 1,Olympique Lyon,England,Premier League,Crystal Palace,17000000
Arkadiusz Milik,Centre-Forward,27,22000000,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,9000000
Noa Lang,Left Winger,22,22000000,Netherlands,Eredivisie,Ajax Amsterdam,Belgium,Jupiler Pro League,Club Brugge KV,6000000
Francisco Trincão,Right Winger,21,22000000,Spain,LaLiga,FC Barcelona,England,Premier League,Wolverhampton Wanderers,loan transfer
Juan Musso,Goalkeeper,27,20000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,20000000
Jhon Córdoba,Centre-Forward,28,15000000,Germany,Bundesliga,Hertha BSC,Russia,Premier Liga,FK Krasnodar,20000000
Takehiro Tomiyasu,Right-Back,22,20000000,Italy,Serie A,Bologna FC 1909,England,Premier League,Arsenal FC,18000000
Marc Cucurella,Left Midfield,23,20000000,Spain,LaLiga,Getafe CF,England,Premier League,Brighton & Hove Albion,18000000
Hamed Junior Traorè,Attacking Midfield,21,20000000,Italy,Serie A,FC Empoli,Italy,Serie A,US Sassuolo,16000000
Danilo Pereira,Defensive Midfield,29,20000000,Portugal,Liga Bwin,FC Porto,France,Ligue 1,Paris Saint-Germain,16000000
Musa Barrow,Centre-Forward,22,20000000,Italy,Serie A,Atalanta BC,Italy,Serie A,Bologna FC 1909,14000000
Tiemoué Bakayoko,Defensive Midfield,27,20000000,England,Premier League,Chelsea FC,Italy,Serie A,AC Milan,2000000
Lucas Torreira,Defensive Midfield,25,20000000,England,Premier League,Arsenal FC,Italy,Serie A,ACF Fiorentina,1000000
Eric García,Centre-Back,20,20000000,England,Premier League,Manchester City,Spain,LaLiga,FC Barcelona,free transfer
Mattéo Guendouzi,Central Midfield,22,20000000,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,loan transfer
Miralem Pjanic,Central Midfield,31,20000000,Spain,LaLiga,FC Barcelona,Turkey,Süper Lig,Besiktas JK,loan transfer
Josko Gvardiol,Centre-Back,19,19000000,Croatia,1.HNL,GNK Dinamo Zagreb,Germany,Bundesliga,RB Leipzig,18000000
Pedrinho,Right Winger,23,15000000,Portugal,Liga Bwin,SL Benfica,Ukraine,Premier Liga,Shakhtar Donetsk,18000000
Matheus Pereira,Right Winger,25,15000000,England,Championship,West Bromwich Albion,Saudi Arabia,Professional League,Al-Hilal Riyadh,18000000
Adam Armstrong,Centre-Forward,24,18000000,England,Championship,Blackburn Rovers,England,Premier League,Southampton FC,17000000
Jannik Vestergaard,Centre-Back,29,18000000,England,Premier League,Southampton FC,England,Premier League,Leicester City,17000000
Mohamed Simakan,Centre-Back,21,18000000,France,Ligue 1,RC Strasbourg Alsace,Germany,Bundesliga,RB Leipzig,15000000
Rayan Aït Nouri,Left-Back,20,18000000,France,Ligue 1,SCO Angers,England,Premier League,Wolverhampton Wanderers,11000000
Carlos Vinícius,Centre-Forward,26,18000000,Portugal,Liga Bwin,SL Benfica,Netherlands,Eredivisie,PSV Eindhoven,2000000
Dennis Praet,Central Midfield,27,18000000,England,Premier League,Leicester City,Italy,Serie A,Torino FC,1000000
Cengiz Ünder,Right Winger,23,18000000,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,500000
